s1,s2,evidence_grade,relation_type
"tian-hexian","fencai","A","person"
"uk-ceramics","europe-jingdezhen","B","related"
"underglaze-red","blue-and-white","B","craft"
"underglaze-red","red-glaze-jingdezhen","B","craft"
"wang-bu","blue-and-white","A","person"
"wang-qi","fencai","A","person"
"wang-shixing","jingdezhen","B","person"
"wang-shixing","tao-shuo","B","source"
"wanli-bluewhite-jar","blue-and-white","B","object"
"west-asia-ceramics","islamic-ceramics","B","related"
"wood-fired-kiln","jingdezhen","A","craft"
"wood-fired-kiln","kiln-fuel-system","B","craft"
"wucai","doucai-porcelain","B","craft"
"wucai","fencai-technique","B","craft"
"wucai","overglaze-enamels","B","craft"
"xing-kiln","jingdezhen","B","related"
"xuande-blue-and-white-dish","blue-and-white","A","object"
"xuande-bluewhite","blue-and-white","B","period"
"xuande-bluewhite","ming-imperial-bluewhite","B","period"
"xuande-copper-red-bowl","ming-imperial-bluewhite","B","period"
"xuande-copper-red-bowl","red-glaze-jingdezhen","A","object"
"xuande-dragon-dish","blue-and-white","A","object"
"xuande-pomegranate-bowl","blue-and-white","A","object"
"xuande-stemcup","blue-and-white","A","object"
"yaozhou-kiln","jingdezhen","B","related"
"yin-hong-xu","jean-baptiste-du-halde","B","source"
"yin-hong-xu","jingdezhen","A","person"
"yin-hong-xu","tao-shuo","B","source"
"yixing-kiln","europe-porcelain","A","related"
"yongle-copper-red-dish","ming-imperial-bluewhite","B","period"
"yongle-copper-red-dish","red-glaze-jingdezhen","A","object"
"yongzheng-celadon-ewer","celadon-glaze-jingdezhen","B","object"
"yuan-blue-and-white-vase","blue-and-white","A","object"
"yuan-large-bluewhite","blue-and-white","A","object"
"yue-kiln","jingdezhen","B","related"
"zang-yingxuan","imperial-kiln","A+","kiln"
"zhang-songmao","fencai","B","person"
"zhangzhou-kiln","southeast-asia-ceramics","B","related"
"zhu-yan","tao-shuo","A","source"
"zhu-yan","tian-gong-kai-wu","B","source"
